1	current change request processing speed	Improve the timeliness of change request processing from the project manager's viewpoint	{'1': 'Average cycle time', '2': 'Percentage of cases outside the upper limit', '3': 'Standard deviation'}
2	performance process improve	Improve the timeliness of change request processing from the project manager's viewpoint	{'1': 'Average cycle time excess'}
3	change request process actually perform	Improve the timeliness of change request processing from the project manager's viewpoint	{'1': 'Number of exceptions', '2': 'Subjective evaluation'}
4	deviation actual change request processing time estimate one	Improve the timeliness of change request processing from the project manager's viewpoint	{'1': 'Cycle time improvements', '2': 'Subjective evaluation'}
5	current performance satisfactory viewpoint project manager	Improve the timeliness of change request processing from the project manager's viewpoint	{'1': 'Subjective evaluation'}
6	performance visibly improve	Improve the timeliness of change request processing from the project manager's viewpoint	{'1': 'Average cycle time excess'}
7	many unwanted behavior	Analyze the software product with respect to its quality for the purpose of characterization from the developer's point of view	{'1': 'Number of faults', '2': 'Number of warnings'}
8	quality test	Analyze the software product with respect to its quality for the purpose of characterization from the developer's point of view	{'1': 'Code coverage'}
9	user learn design quickly perform task	Efficiency	{'1': 'Screen duration', '2': 'Task completion time'}
10	system fulfill requirement workload increase	Analyze the scalability of cloud computing system designs from a software architect's viewpoint	{'1': 'Scalability range', '2': 'Scalability speed'}
11	often system violate requirement workload x time period	Analyze the elasticity of cloud computing system designs from a software architect's viewpoint	{'1': 'Number of defects'}
12	point system violates requirement long take system recovers state requirement met	Analyze the elasticity of cloud computing system designs from a software architect's viewpoint	{'1': 'Mean time to quality repair'}
13	close actual resource demand system align resource provision	Analyze the efficiency of cloud computing system designs from a software architect's viewpoint	{'1': 'Resource provisioning efficiency'}
14	amount resource autonomously provision system give workload x	Analyze the efficiency of cloud computing system designs from a software architect's viewpoint	{'1': 'Marginal costs'}
15	big initial effort understand technology create design technology implement system	Compare maintainability of different persistency techniques from the software development and maintenance team point of view	{'1': 'Cumulative flow diagram', '2': 'Number of workarounds', '3': 'Task completion time'}
16	effort implement part system	Compare maintainability of different persistency techniques from the software development and maintenance team point of view	{'1': 'Task completion time'}
